dijkstra_path,bellman_ford_path,A*
0.000582600012421608,0.003872800152748823,0.0007298998534679413
0.0006760000251233578,0.0020222000312060118,0.00037180003710091114
0.0006383999716490507,0.00169189996086061,0.00041440012864768505
0.0006516999565064907,0.00167559995315969,0.0003418000414967537
0.0005290999542921782,0.0017270001117140055,0.00030519999563694
0.0007690000347793102,0.0019835999701172113,
0.0005290000699460506,0.001865300117060542,
0.0004094000905752182,0.00122779980301857,
0.0003665999975055456,0.0011973001528531313,
0.000368200009688735,0.0017253002151846886,
