rabinkarp_time,rabinkarp_memory,rabinkarp_iterations,kmp_time,kmp_memory,kmp_iterations
0.001774500124156475,656.0,878.0,0.0008920002728700638,656.0,1052.0
0.0015577999874949455,592.0,888.0,0.0012918999418616295,592.0,1081.0
0.0021603000350296497,304.0,898.0,0.0011326000094413757,304.0,1060.0
0.002096099779009819,368.0,908.0,0.00132719986140728,368.0,1114.0
0.001961800269782543,272.0,918.0,0.0013820999301970005,272.0,1116.0
0.0020616003312170506,368.0,928.0,0.001133000012487173,368.0,1105.0
0.0022363997995853424,304.0,938.0,0.0008827997371554375,304.0,1119.0
0.0022757998667657375,464.0,948.0,0.0012328000739216805,464.0,1143.0
0.0022340998984873295,592.0,958.0,0.0012190998531877995,592.0,1137.0
0.0023008002899587154,688.0,968.0,0.001314300112426281,688.0,1159.0
0.0023960997350513935,400.0,978.0,0.0014724996872246265,400.0,1143.0
0.002430299762636423,592.0,988.0,0.0013415999710559845,592.0,1191.0
