rabinkarp_time,rabinkarp_memory,rabinkarp_iterations,kmp_time,kmp_memory,kmp_iterations
4.979968070983887e-05,144.0,8.0,3.8499943912029266e-05,144.0,11.0
5.950033664703369e-05,144.0,18.0,5.239993333816528e-05,144.0,24.0
8.29002819955349e-05,144.0,28.0,5.039991810917854e-05,144.0,36.0
9.490037336945534e-05,144.0,38.0,8.070003241300583e-05,144.0,48.0
0.0001175999641418457,208.0,48.0,8.199969306588173e-05,208.0,63.0
0.00013489974662661552,144.0,58.0,9.249988943338394e-05,144.0,75.0
0.00015199976041913033,144.0,68.0,0.00010089995339512825,144.0,85.0
0.00018319999799132347,240.0,78.0,0.00011639995500445366,240.0,96.0
0.00020579993724822998,144.0,88.0,0.00011010002344846725,144.0,108.0
0.0002147001214325428,240.0,98.0,0.0001671002246439457,240.0,123.0
0.00025669997557997704,240.0,108.0,0.00010609999299049377,240.0,136.0
0.0002690996043384075,208.0,118.0,0.0001426003873348236,208.0,145.0
0.00033159973099827766,240.0,128.0,0.0001759999431669712,240.0,153.0
0.0002741999924182892,208.0,138.0,0.000130500178784132,208.0,166.0
0.00036720000207424164,240.0,148.0,0.0001921001821756363,240.0,178.0
0.0002731001004576683,144.0,158.0,0.0002055000513792038,144.0,187.0
0.00024219974875450134,208.0,168.0,0.000170800369232893,208.0,212.0
0.000249999575316906,208.0,178.0,0.00015450036153197289,208.0,208.0
0.00032900040969252586,144.0,188.0,0.00019659986719489098,144.0,226.0
0.0005756998434662819,272.0,198.0,0.0002597002312541008,272.0,234.0
0.00044269999489188194,240.0,208.0,0.000283100176602602,240.0,255.0
0.00046269968152046204,208.0,218.0,0.00031800009310245514,208.0,254.0
0.00047579966485500336,144.0,228.0,0.0002096998505294323,144.0,273.0
0.00032560015097260475,144.0,238.0,0.00019779987633228302,144.0,282.0
0.00033590011298656464,240.0,248.0,0.00021089985966682434,240.0,295.0
0.00036589987576007843,240.0,258.0,0.00023139966651797295,240.0,321.0
0.00038160011172294617,272.0,268.0,0.00029250001534819603,272.0,317.0
0.00039609987288713455,272.0,278.0,0.00023119989782571793,272.0,327.0
